user_id,event_id,age,gender,location,event_type,registration_date,event_date,previous_events,income,event_rating,distance_km,organizer_score,social_buzz,attended
51,144,18,Male,Chennai,Business,2023-01-17,2023-03-08,1,29997,2.72,27,1.92,34,0
52,163,33,Female,Bangalore,Sports,2023-01-18,2023-01-24,9,38416,3.95,31,3.49,78,1
53,122,19,Male,Kolkata,Tech,2023-01-18,2023-02-23,8,65746,4.8,38,4.04,14,1
54,133,38,Female,Kolkata,Music,2023-01-18,2023-03-03,1,82441,4.47,46,4.88,19,1
55,104,45,Other,Kolkata,Tech,2023-01-19,2023-02-18,7,75224,4.59,11,4.37,61,1
56,177,37,Other,Pune,Music,2023-01-19,2023-01-26,1,81703,4.82,24,1.34,71,1
57,151,41,Female,Delhi,Tech,2023-01-19,2023-01-27,6,77248,4.09,29,1.85,81,1
58,119,24,Male,Pune,Education,2023-01-20,2023-02-25,10,50635,4.99,18,3.13,62,1
59,160,45,Male,Chennai,Music,2023-01-20,2023-03-12,2,92019,2.58,49,2.03,12,0
60,114,33,Male,Chennai,Sports,2023-01-20,2023-02-25,1,33789,4.59,26,1.06,68,1
61,178,36,Male,Mumbai,Sports,2023-01-21,2023-01-27,4,75982,4.64,30,4.02,43,1
62,123,39,Other,Chennai,Sports,2023-01-21,2023-03-09,4,28872,4.79,10,2.43,26,1
63,127,35,Male,Kolkata,Music,2023-01-21,2023-02-18,0,81247,3.7,21,1.26,34,1
64,188,26,Female,Mumbai,Education,2023-01-22,2023-01-27,5,26970,4.47,32,3.04,81,1
65,175,35,Male,Kolkata,Tech,2023-01-22,2023-02-13,2,37294,2.99,22,4.91,17,0
66,168,36,Female,Bangalore,Art,2023-01-22,2023-02-03,1,51302,4.01,39,3.71,56,1
67,160,42,Male,Mumbai,Tech,2023-01-23,2023-03-23,3,75557,3.4,7,1.64,8,0
68,152,31,Female,Kolkata,Tech,2023-01-23,2023-03-18,0,23643,3.99,8,3.06,73,1
69,119,32,Female,Pune,Education,2023-01-23,2023-01-30,10,40588,4.19,17,4.61,15,1
70,130,32,Other,Kolkata,Education,2023-01-24,2023-02-27,10,46690,3.37,16,1.22,94,0
71,197,21,Female,Chennai,Music,2023-01-24,2023-01-25,4,78481,3.04,41,3.55,89,0
72,192,20,Other,Bangalore,Music,2023-01-24,2023-02-21,9,96922,3.3,44,3.89,86,1
73,173,18,Other,Kolkata,Sports,2023-01-25,2023-02-04,5,69133,4.16,24,3.82,35,1
74,189,36,Male,Pune,Tech,2023-01-25,2023-03-11,10,60600,4.19,26,1.6,79,1
75,181,29,Other,Chennai,Art,2023-01-25,2023-01-30,1,46902,4.35,15,4.63,13,1
76,140,42,Female,Kolkata,Tech,2023-01-26,2023-03-21,3,85811,2.82,27,2.29,29,0
77,172,37,Female,Bangalore,Education,2023-01-26,2023-02-09,8,28579,4.55,36,1.21,13,0
78,176,21,Female,Bangalore,Tech,2023-01-26,2023-02-11,2,30341,4.22,37,1.33,5,0
79,113,20,Male,Delhi,Sports,2023-01-27,2023-03-21,9,36094,2.58,49,2.83,37,0
80,192,28,Male,Chennai,Music,2023-01-27,2023-03-22,4,41446,3.34,29,1.16,58,0
81,149,43,Other,Mumbai,Music,2023-01-27,2023-02-02,4,56927,3.67,18,4.12,87,1
82,131,19,Male,Kolkata,Tech,2023-01-28,2023-02-04,4,95723,3.4,4,4.46,3,1
83,147,23,Female,Pune,Sports,2023-01-28,2023-03-20,8,72031,2.79,35,1.05,41,0
84,133,18,Other,Chennai,Sports,2023-01-28,2023-03-27,0,50684,3.02,41,4.24,72,0
85,133,29,Other,Delhi,Music,2023-01-29,2023-02-27,8,36921,2.56,28,4.92,20,0
86,155,45,Other,Chennai,Music,2023-01-29,2023-02-08,8,71872,2.73,47,1.12,74,0
87,200,37,Male,Pune,Sports,2023-01-29,2023-02-08,9,40250,3.17,16,3.9,57,1
88,141,31,Male,Bangalore,Sports,2023-01-30,2023-02-15,10,98090,4.55,3,5.0,56,1
89,121,22,Male,Chennai,Sports,2023-01-30,2023-03-12,8,58218,3.82,32,4.19,12,1
90,176,27,Other,Chennai,Music,2023-01-30,2023-02-05,5,64063,3.56,7,3.02,16,1
91,129,32,Female,Kolkata,Music,2023-01-31,2023-03-10,5,92279,4.16,5,4.54,88,1
92,154,25,Other,Chennai,Music,2023-01-31,2023-03-20,4,44427,3.85,36,3.83,88,1
93,125,37,Female,Mumbai,Tech,2023-01-31,2023-02-09,9,57744,2.83,22,2.17,45,0
94,121,45,Male,Kolkata,Sports,2023-02-01,2023-04-01,4,62555,3.06,31,1.9,60,0
95,125,23,Female,Mumbai,Business,2023-02-01,2023-04-01,6,41685,3.06,38,3.05,54,0
96,135,25,Male,Bangalore,Tech,2023-02-01,2023-02-19,1,24370,4.0,20,2.49,52,1
97,196,21,Other,Bangalore,Sports,2023-02-02,2023-02-09,3,42699,3.65,31,2.32,71,1
98,167,38,Other,Chennai,Sports,2023-02-02,2023-02-22,2,28989,3.47,27,1.71,57,0
99,170,30,Other,Delhi,Sports,2023-02-02,2023-02-18,4,74054,3.89,30,4.38,12,1
100,105,25,Female,Pune,Sports,2023-02-03,2023-02-20,5,20573,4.93,36,3.82,8,1
101,101,24,Female,Chennai,Music,2023-02-03,2023-03-30,7,45319,3.29,20,2.33,85,1
102,134,19,Other,Bangalore,Education,2023-02-03,2023-02-13,4,90736,3.8,26,1.95,74,1
103,189,31,Male,Chennai,Education,2023-02-04,2023-02-23,1,65489,3.7,30,1.51,20,0
104,101,37,Female,Pune,Music,2023-02-04,2023-03-23,5,73702,4.29,8,1.45,6,1
105,177,24,Other,Chennai,Tech,2023-02-04,2023-02-08,0,73481,4.33,11,3.5,22,1
106,182,18,Male,Chennai,Sports,2023-02-05,2023-02-09,9,43866,4.32,5,1.44,58,1
107,128,31,Female,Chennai,Business,2023-02-05,2023-02-23,8,70585,3.0,10,4.84,58,1
108,111,36,Other,Delhi,Music,2023-02-05,2023-04-04,2,37692,3.62,22,2.12,17,0
109,115,27,Male,Kolkata,Business,2023-02-06,2023-03-28,2,70840,4.53,47,1.1,17,0
110,107,25,Male,Chennai,Sports,2023-02-06,2023-04-02,0,74646,3.45,47,4.42,20,0
111,185,22,Other,Bangalore,Art,2023-02-06,2023-03-29,4,90091,4.96,39,2.47,44,1
112,179,38,Male,Chennai,Tech,2023-02-07,2023-02-14,0,93562,3.41,28,2.37,23,0
113,167,42,Male,Delhi,Education,2023-02-07,2023-03-03,10,21918,3.74,11,1.47,46,0
114,109,39,Male,Kolkata,Business,2023-02-07,2023-03-11,1,43931,3.69,18,3.64,1,1
115,195,32,Female,Delhi,Music,2023-02-08,2023-02-18,7,63769,3.58,39,2.44,94,1
116,169,38,Female,Delhi,Music,2023-02-08,2023-04-08,6,45724,4.61,46,4.29,90,1
117,183,29,Other,Pune,Art,2023-02-08,2023-03-16,2,69486,2.89,49,3.52,34,0
118,138,18,Female,Pune,Art,2023-02-09,2023-04-01,8,88339,3.92,20,4.52,81,1
119,119,28,Male,Bangalore,Education,2023-02-09,2023-02-25,1,40642,4.05,25,3.49,54,1
120,182,37,Female,Pune,Business,2023-02-09,2023-03-24,9,91470,4.63,26,4.12,3,1
121,105,36,Female,Kolkata,Art,2023-02-10,2023-02-17,8,90561,4.02,3,3.79,28,1
122,118,45,Male,Chennai,Business,2023-02-10,2023-02-12,6,93122,4.9,6,2.85,5,1
123,115,45,Other,Delhi,Music,2023-02-10,2023-03-20,9,25882,4.68,3,3.75,71,1
124,108,24,Male,Kolkata,Art,2023-02-11,2023-02-16,4,43452,3.37,37,3.65,79,1
125,155,18,Female,Mumbai,Music,2023-02-11,2023-02-28,3,29928,4.65,12,1.03,62,1
126,123,25,Female,Delhi,Business,2023-02-11,2023-03-30,1,29625,4.9,36,3.79,0,0
127,197,42,Female,Pune,Tech,2023-02-12,2023-03-14,10,24251,3.14,19,2.05,23,0
128,194,40,Other,Chennai,Business,2023-02-12,2023-03-07,4,55199,4.03,40,3.17,47,1
129,117,20,Female,Delhi,Art,2023-02-12,2023-03-02,9,26977,3.2,6,1.45,14,1
130,183,22,Male,Delhi,Tech,2023-02-13,2023-03-25,3,43661,4.12,17,1.09,10,0
131,103,33,Female,Delhi,Music,2023-02-13,2023-04-11,10,98509,2.73,11,1.06,30,0
132,128,36,Male,Delhi,Music,2023-02-13,2023-03-29,9,90709,4.34,22,1.63,59,0
133,166,45,Other,Pune,Tech,2023-02-14,2023-03-08,3,94967,3.55,29,1.08,8,0
134,120,39,Male,Delhi,Education,2023-02-14,2023-03-11,5,22930,3.97,9,1.53,100,1
135,107,23,Male,Chennai,Tech,2023-02-14,2023-02-21,8,72872,2.56,34,3.24,46,0
136,115,19,Female,Bangalore,Education,2023-02-15,2023-02-24,2,70710,4.24,49,2.6,17,0
137,166,35,Female,Delhi,Art,2023-02-15,2023-03-03,0,30621,3.74,3,4.92,2,1
138,122,33,Other,Pune,Music,2023-02-15,2023-03-10,3,92494,4.06,5,4.23,96,1
139,124,43,Female,Kolkata,Music,2023-02-16,2023-04-16,6,52350,3.29,48,1.59,60,0
140,120,34,Male,Kolkata,Music,2023-02-16,2023-04-09,1,98133,2.86,33,2.67,87,0
141,189,32,Female,Mumbai,Music,2023-02-16,2023-02-23,3,29118,3.59,46,2.72,78,0
142,189,26,Female,Bangalore,Music,2023-02-17,2023-03-09,10,72010,4.86,36,2.45,99,1
143,181,20,Male,Bangalore,Music,2023-02-17,2023-02-21,0,30458,3.07,36,2.98,89,0
144,102,42,Other,Kolkata,Art,2023-02-17,2023-02-21,0,95993,4.19,8,3.68,77,1
145,125,41,Female,Mumbai,Tech,2023-02-18,2023-03-13,4,68607,2.62,26,3.56,85,0
146,188,22,Other,Mumbai,Art,2023-02-18,2023-04-16,0,26052,4.3,19,2.43,86,1
147,155,37,Male,Pune,Art,2023-02-18,2023-03-01,0,37185,3.1,42,3.82,25,0
148,104,28,Other,Bangalore,Business,2023-02-19,2023-04-01,2,48742,3.63,3,2.16,60,1
149,125,30,Female,Chennai,Business,2023-02-19,2023-03-15,1,21028,3.42,1,4.34,99,1
150,183,41,Other,Pune,Education,2023-02-19,2023-03-23,8,20697,2.78,28,4.86,87,0
151,188,41,Female,Mumbai,Tech,2023-02-20,2023-04-13,1,94038,3.36,49,2.18,10,0
152,143,23,Other,Bangalore,Sports,2023-02-20,2023-04-10,5,98494,3.38,50,4.14,11,0
153,115,26,Male,Mumbai,Sports,2023-02-20,2023-04-10,7,62896,3.81,30,4.25,20,1
154,107,40,Male,Bangalore,Tech,2023-02-21,2023-03-18,6,92218,4.93,22,2.96,74,1
155,122,43,Female,Kolkata,Education,2023-02-21,2023-02-24,7,72418,3.68,14,1.35,39,0
156,180,20,Male,Delhi,Business,2023-02-21,2023-04-21,3,22244,4.79,50,4.14,63,1
157,183,41,Female,Pune,Tech,2023-02-22,2023-04-22,9,77159,3.65,10,2.63,14,1
158,125,31,Male,Delhi,Business,2023-02-22,2023-04-14,0,21450,2.77,7,1.83,6,0
159,198,34,Other,Delhi,Tech,2023-02-22,2023-03-23,1,85320,3.08,26,3.51,77,0
160,188,20,Female,Chennai,Business,2023-02-23,2023-03-12,9,49357,3.52,20,2.75,29,1
161,199,37,Female,Mumbai,Education,2023-02-23,2023-03-06,0,31300,3.31,25,1.35,4,0
162,175,36,Female,Delhi,Business,2023-02-23,2023-03-17,2,40683,4.66,46,4.93,21,1
163,157,36,Female,Kolkata,Education,2023-02-24,2023-03-16,1,74668,4.2,14,1.98,32,0
164,199,40,Female,Kolkata,Sports,2023-02-24,2023-03-13,0,87754,3.95,44,3.04,40,0
165,169,44,Female,Kolkata,Education,2023-02-24,2023-04-22,1,65657,3.73,11,3.67,90,1
166,184,41,Male,Chennai,Music,2023-02-25,2023-04-05,6,32838,3.49,17,1.46,20,0
167,140,38,Female,Bangalore,Tech,2023-02-25,2023-03-11,7,92012,4.03,1,3.96,61,1
168,124,45,Other,Bangalore,Sports,2023-02-25,2023-04-04,0,83251,2.81,34,3.59,27,0
169,157,36,Other,Kolkata,Tech,2023-02-26,2023-04-09,10,52789,2.91,43,2.98,50,0
170,141,36,Other,Pune,Art,2023-02-26,2023-03-29,1,64356,3.26,45,3.11,29,0
171,135,33,Male,Pune,Art,2023-02-26,2023-04-23,7,97114,2.93,9,4.82,34,1
172,170,39,Female,Pune,Business,2023-02-27,2023-04-25,8,50191,4.19,39,4.64,60,1
173,161,19,Other,Chennai,Music,2023-02-27,2023-03-25,5,22061,2.56,8,1.45,59,1
174,131,32,Female,Chennai,Music,2023-02-27,2023-03-27,5,31657,2.9,32,2.48,13,0
175,124,29,Male,Chennai,Business,2023-02-28,2023-03-13,1,68025,4.76,36,3.07,15,1
176,155,43,Male,Kolkata,Art,2023-02-28,2023-04-16,2,99815,4.99,8,4.68,24,1
177,133,20,Other,Chennai,Art,2023-02-28,2023-04-24,9,79192,3.72,6,4.27,90,1
178,124,36,Male,Pune,Sports,2023-03-01,2023-04-09,3,69438,3.74,4,2.55,32,1
179,122,23,Other,Mumbai,Sports,2023-03-01,2023-03-13,0,45840,4.43,36,4.54,58,1
180,166,42,Other,Delhi,Sports,2023-03-01,2023-04-01,8,55150,2.59,31,2.51,45,0
181,141,41,Male,Mumbai,Sports,2023-03-02,2023-04-18,7,23069,3.57,6,2.08,35,0
182,134,24,Other,Pune,Sports,2023-03-02,2023-03-05,0,49690,2.75,26,3.44,3,0
183,111,42,Female,Kolkata,Tech,2023-03-02,2023-04-06,0,69877,3.5,40,2.42,44,0
184,105,31,Other,Chennai,Education,2023-03-03,2023-04-11,1,92458,4.96,12,3.49,100,1
185,170,45,Female,Kolkata,Art,2023-03-03,2023-04-04,0,93793,4.38,31,2.64,95,1
186,197,38,Other,Kolkata,Business,2023-03-03,2023-04-10,6,85695,4.96,15,4.18,30,1
187,132,18,Male,Pune,Tech,2023-03-04,2023-04-26,1,21719,4.37,14,4.82,53,1
188,185,23,Other,Kolkata,Music,2023-03-04,2023-03-12,6,84894,4.02,20,2.08,29,1
189,160,29,Female,Bangalore,Education,2023-03-04,2023-04-07,1,37489,4.39,18,3.04,93,1
190,130,23,Male,Bangalore,Business,2023-03-05,2023-04-21,10,69295,4.15,25,3.9,56,1
191,157,21,Other,Chennai,Education,2023-03-05,2023-04-23,7,95711,3.66,11,1.63,92,1
192,113,45,Female,Delhi,Tech,2023-03-05,2023-04-02,4,91036,3.23,20,4.18,86,1
193,134,42,Female,Delhi,Tech,2023-03-06,2023-05-04,4,73152,3.8,32,3.33,33,0
194,174,30,Female,Kolkata,Sports,2023-03-06,2023-03-26,0,43942,3.15,20,1.6,46,0
195,185,24,Female,Mumbai,Tech,2023-03-06,2023-04-01,0,61670,3.72,33,4.47,57,0
196,122,23,Male,Pune,Sports,2023-03-07,2023-04-25,5,76296,2.87,6,2.71,25,1
197,191,43,Male,Kolkata,Sports,2023-03-07,2023-04-02,0,61136,3.91,7,1.71,83,1
198,161,27,Female,Pune,Tech,2023-03-07,2023-03-28,7,52355,3.11,44,1.78,57,0
199,123,18,Female,Kolkata,Business,2023-03-08,2023-04-10,4,52227,3.23,24,4.14,20,1
200,178,29,Female,Mumbai,Sports,2023-03-08,2023-04-14,1,67999,3.75,31,4.74,48,0
201,188,30,Other,Kolkata,Business,2023-03-08,2023-05-05,5,22862,2.91,37,2.51,82,0
202,127,35,Other,Mumbai,Business,2023-03-09,2023-04-15,6,99852,4.91,8,1.32,42,1
203,110,27,Female,Kolkata,Tech,2023-03-09,2023-03-20,8,28165,3.62,49,1.4,71,0
204,128,43,Female,Chennai,Education,2023-03-09,2023-03-13,2,98761,3.38,22,3.62,99,1
205,176,36,Female,Kolkata,Sports,2023-03-10,2023-05-07,6,22830,2.57,45,2.48,33,0
206,106,45,Other,Bangalore,Tech,2023-03-10,2023-04-04,9,61009,4.61,21,2.7,100,1
207,129,28,Other,Chennai,Business,2023-03-10,2023-03-22,2,53406,4.06,21,2.35,41,1
208,132,36,Other,Mumbai,Tech,2023-03-11,2023-03-25,9,65909,3.54,31,2.86,56,0
209,101,28,Female,Bangalore,Music,2023-03-11,2023-03-18,7,54685,3.11,10,3.57,78,1
210,160,37,Male,Chennai,Sports,2023-03-11,2023-03-23,4,91785,4.36,31,3.16,6,1
211,181,38,Female,Bangalore,Business,2023-03-12,2023-04-28,9,21333,4.86,50,1.66,70,0
212,115,27,Other,Chennai,Sports,2023-03-12,2023-04-20,10,98850,3.45,33,2.97,57,1
213,189,44,Male,Chennai,Music,2023-03-12,2023-04-17,2,75154,2.84,4,2.84,66,0
214,196,42,Female,Kolkata,Business,2023-03-13,2023-03-14,10,82288,2.77,35,3.18,96,1
215,187,43,Other,Chennai,Art,2023-03-13,2023-04-22,0,31184,2.52,2,1.44,49,0
216,172,24,Male,Bangalore,Sports,2023-03-13,2023-05-10,1,25214,4.36,6,1.61,93,1
217,145,38,Male,Pune,Education,2023-03-14,2023-05-08,0,51761,4.95,15,3.12,57,1
218,120,20,Female,Pune,Music,2023-03-14,2023-04-07,4,45811,4.98,16,2.1,21,1
219,192,20,Female,Kolkata,Business,2023-03-14,2023-04-19,10,82636,4.46,1,3.52,65,1
220,153,45,Other,Mumbai,Music,2023-03-15,2023-04-02,6,91724,2.91,1,2.49,19,1
221,145,22,Female,Pune,Tech,2023-03-15,2023-05-07,6,54197,4.94,40,1.88,90,1
222,139,42,Female,Kolkata,Sports,2023-03-15,2023-05-09,0,81468,3.32,23,3.63,15,0
223,122,30,Other,Chennai,Tech,2023-03-16,2023-03-30,5,24764,3.33,10,2.58,50,1
224,138,26,Female,Bangalore,Tech,2023-03-16,2023-04-14,4,79378,4.22,22,1.63,82,1
225,180,20,Male,Chennai,Art,2023-03-16,2023-03-30,5,27946,2.62,35,4.24,0,0
226,156,36,Other,Bangalore,Tech,2023-03-17,2023-04-23,2,73433,4.56,37,2.73,49,0
227,139,38,Male,Chennai,Art,2023-03-17,2023-04-04,2,50571,4.99,15,4.66,51,1
228,110,31,Male,Delhi,Music,2023-03-17,2023-04-28,10,53221,4.44,9,1.77,34,1
229,141,40,Female,Delhi,Tech,2023-03-18,2023-05-15,6,42108,4.45,48,4.51,67,1
230,121,27,Male,Bangalore,Business,2023-03-18,2023-05-09,4,52259,3.48,32,4.26,32,0
231,140,33,Male,Kolkata,Business,2023-03-18,2023-03-29,0,89953,2.66,50,1.42,37,0
232,115,26,Male,Mumbai,Sports,2023-03-19,2023-03-27,8,84714,4.48,16,3.13,27,1
233,195,34,Female,Pune,Tech,2023-03-19,2023-05-07,5,47225,3.99,6,3.61,63,1
234,117,21,Female,Chennai,Education,2023-03-19,2023-03-24,4,43502,4.77,20,2.98,89,1
235,112,31,Other,Kolkata,Art,2023-03-20,2023-04-13,7,60729,2.79,17,2.56,17,1
236,166,33,Other,Chennai,Art,2023-03-20,2023-05-18,1,74786,3.26,36,4.78,41,1
237,134,33,Other,Delhi,Music,2023-03-20,2023-04-16,5,34587,3.4,36,3.8,22,0
238,200,30,Female,Kolkata,Business,2023-03-21,2023-03-22,9,78096,4.21,4,4.86,24,1
239,140,36,Other,Bangalore,Business,2023-03-21,2023-05-18,5,95895,4.47,30,4.38,98,1
240,165,32,Female,Delhi,Education,2023-03-21,2023-05-02,0,87564,4.9,18,4.27,71,1
241,184,25,Male,Pune,Sports,2023-03-22,2023-04-11,2,63861,3.24,31,3.9,95,1
242,199,24,Female,Delhi,Sports,2023-03-22,2023-04-28,0,45590,3.73,20,3.58,64,1
243,181,36,Other,Pune,Business,2023-03-22,2023-04-28,5,45879,2.57,27,4.55,67,0
244,158,44,Female,Delhi,Art,2023-03-23,2023-04-25,4,79351,3.13,36,3.45,72,1
245,182,39,Other,Delhi,Tech,2023-03-23,2023-05-19,1,56387,3.44,15,1.3,65,0
246,128,35,Female,Pune,Tech,2023-03-23,2023-05-09,7,28519,3.98,10,3.33,83,1
247,187,43,Other,Chennai,Tech,2023-03-24,2023-04-09,1,74211,3.68,36,1.41,32,0
248,188,43,Male,Kolkata,Education,2023-03-24,2023-05-22,3,31044,3.41,48,4.8,10,0
249,138,32,Female,Chennai,Education,2023-03-24,2023-05-20,10,98952,4.06,23,3.59,49,1
250,106,21,Female,Pune,Music,2023-03-25,2023-03-28,0,53386,4.57,50,3.22,0,0
251,169,35,Other,Bangalore,Music,2023-03-25,2023-04-12,2,47359,3.1,10,1.79,4,0
252,110,35,Female,Kolkata,Tech,2023-03-25,2023-05-01,3,24418,3.36,41,3.06,5,0
253,101,25,Female,Bangalore,Education,2023-03-26,2023-05-17,5,33417,4.26,50,2.37,7,0
254,195,41,Male,Bangalore,Music,2023-03-26,2023-05-08,2,95815,4.44,15,3.7,71,1
255,157,42,Female,Delhi,Sports,2023-03-26,2023-04-29,10,62969,4.56,8,3.42,60,1
256,165,27,Female,Pune,Sports,2023-03-27,2023-04-15,0,92151,3.02,34,3.0,94,0
257,188,31,Male,Chennai,Sports,2023-03-27,2023-04-02,10,96473,3.85,44,2.01,29,1
258,193,23,Other,Pune,Sports,2023-03-27,2023-05-19,5,23914,4.75,5,3.1,33,1
259,196,22,Other,Bangalore,Art,2023-03-28,2023-04-29,0,50462,3.48,33,2.85,49,0
260,113,25,Other,Delhi,Music,2023-03-28,2023-04-24,1,87064,3.57,44,4.41,78,1
261,132,28,Female,Chennai,Music,2023-03-28,2023-05-25,1,59653,4.96,2,4.58,93,1
262,177,25,Male,Bangalore,Music,2023-03-29,2023-04-08,3,60709,2.78,26,4.04,73,1
263,102,22,Female,Bangalore,Tech,2023-03-29,2023-04-13,3,65607,4.26,4,2.28,51,1
264,123,30,Other,Mumbai,Business,2023-03-29,2023-05-19,7,76157,4.63,9,1.15,98,1
265,151,35,Male,Mumbai,Art,2023-03-30,2023-04-16,3,95100,2.88,25,4.7,18,0
266,134,27,Female,Delhi,Art,2023-03-30,2023-05-25,7,90954,4.29,17,4.97,47,1
267,117,32,Other,Kolkata,Tech,2023-03-30,2023-05-20,3,70007,3.67,5,1.51,24,1
268,190,25,Female,Kolkata,Tech,2023-03-31,2023-04-06,2,66157,4.63,41,3.74,16,1
269,145,37,Female,Delhi,Education,2023-03-31,2023-04-28,3,48879,4.77,11,2.7,40,1
270,141,36,Other,Delhi,Business,2023-03-31,2023-05-15,3,29306,4.68,44,1.59,77,0
271,166,44,Male,Bangalore,Education,2023-04-01,2023-04-30,9,76720,2.66,9,4.99,32,1
272,167,19,Other,Pune,Music,2023-04-01,2023-04-14,2,20206,4.39,26,4.73,82,1
273,149,41,Male,Pune,Art,2023-04-01,2023-04-04,3,75853,4.8,37,4.93,61,1
